날짜,price,제품명
2013년 12월,"3,074",[삼양식품]삼양라면
2013년 11월,"3,061",[삼양식품]삼양라면
2013년 10월,"3,081",[삼양식품]삼양라면
2013년 9월,"3,078",[삼양식품]삼양라면
2013년 8월,"3,080",[삼양식품]삼양라면
2013년 7월,"3,078",[삼양식품]삼양라면
2013년 6월,"3,089",[삼양식품]삼양라면
2013년 5월,"3,053",[삼양식품]삼양라면
2013년 4월,"3,078",[삼양식품]삼양라면
2013년 3월,"3,083",[삼양식품]삼양라면
2013년 2월,"3,102",[삼양식품]삼양라면
2013년 1월,"3,099",[삼양식품]삼양라면
2013년 12월,"2,800",[오뚜기]진라면 순한맛
2013년 11월,"2,787",[오뚜기]진라면 순한맛
2013년 10월,"2,805",[오뚜기]진라면 순한맛
2013년 9월,"2,777",[오뚜기]진라면 순한맛
2013년 8월,"2,806",[오뚜기]진라면 순한맛
2013년 7월,"2,813",[오뚜기]진라면 순한맛
2013년 6월,"2,804",[오뚜기]진라면 순한맛
2013년 5월,"2,788",[오뚜기]진라면 순한맛
2013년 4월,"2,785",[오뚜기]진라면 순한맛
2013년 3월,"2,763",[오뚜기]진라면 순한맛
2013년 2월,"2,828",[오뚜기]진라면 순한맛
2013년 1월,"2,782",[오뚜기]진라면 순한맛
