"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 10월","390.00","386.75","402.50","378.25","3.65M","0.52%"
"2019년 9월","388.00","358.75","388.25","340.00","1.65M","8.38%"
"2019년 8월","358.00","401.75","417.00","355.25","3.08M","-10.56%"
"2019년 7월","400.25","424.25","460.00","400.00","1.69M","-4.76%"
"2019년 6월","420.25","426.25","464.25","407.00","4.83M","-1.58%"
"2019년 5월","427.00","353.50","438.00","335.50","4.19M","20.88%"
"2019년 4월","353.25","356.50","366.25","342.25","3.98M","-0.91%"
"2019년 3월","356.50","361.75","380.75","352.75","2.10M","-1.52%"
"2019년 2월","362.00","376.50","381.75","361.25","4.41M","-3.85%"
"2019년 1월","376.50","375.25","384.50","371.00","3.42M","0.40%"
"2018년 12월","375.00","372.75","386.50","369.25","1.13M","2.32%"
"2018년 11월","366.50","363.25","379.00","355.25","4.35M","0.89%"
"2018년 10월","363.25","356.75","378.50","356.50","3.82M","1.96%"
"2018년 9월","356.25","351.50","366.75","337.00","1.76M","1.50%"
"2018년 8월","351.00","372.00","373.75","340.25","2.70M","-5.71%"
"2018년 7월","372.25","352.25","374.25","329.75","1.31M","6.28%"
"2018년 6월","350.25","393.75","397.00","338.75","4.62M","-11.10%"
"2018년 5월","394.00","393.00","412.25","387.50","2.32M","0.38%"
"2018년 4월","392.50","389.25","395.75","372.00","4.00M","1.23%"
"2018년 3월","387.75","374.00","390.75","369.25","2.28M","3.54%"
"2018년 2월","374.50","360.75","376.75","356.25","4.71M","3.60%"
"2018년 1월","361.50","351.25","362.25","345.50","3.96M","3.06%"
