"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 11월","199.25","220.00","238.50","198.25","10.55K","-9.64%"
"2016년 10월","220.50","178.75","240.50","178.50","15.77K","23.70%"
"2016년 9월","178.25","165.50","180.00","158.75","3.82K","10.71%"
"2016년 8월","161.00","200.75","205.00","157.00","5.07K","-19.70%"
"2016년 7월","200.50","208.00","250.25","195.50","2.16K","-2.31%"
"2016년 6월","205.25","189.00","222.50","186.75","16.36K","8.60%"
"2016년 5월","189.00","180.00","198.50","178.25","5.75K","-2.33%"
"2016년 4월","193.50","186.00","215.75","181.00","11.58K","4.31%"
"2016년 3월","185.50","171.75","199.50","160.75","4.80K","9.60%"
"2016년 2월","169.25","201.25","202.50","167.25","11.38K","-15.69%"
"2016년 1월","200.75","217.00","219.00","192.50","10.78K","-7.59%"
"2015년 12월","217.25","250.00","268.25","216.00","5.24K","-12.66%"
"2015년 11월","248.75","227.00","253.25","220.50","12.25K","9.46%"
"2015년 10월","227.25","225.75","235.25","210.00","8.93K","0.22%"
"2015년 9월","226.75","238.00","240.00","225.25","3.48K","-3.72%"
"2015년 8월","235.50","242.25","242.25","203.25","2.84K","-2.38%"
"2015년 7월","241.25","255.00","258.75","221.25","2.15K","-4.74%"
"2015년 6월","253.25","235.00","269.75","234.00","9.29K","8.23%"
"2015년 5월","234.00","238.50","256.00","226.25","4.53K","-2.40%"
"2015년 4월","239.75","264.75","275.00","221.25","11.99K","-9.44%"
"2015년 3월","264.75","293.25","299.50","262.50","5.05K","-8.86%"
"2015년 2월","290.50","275.50","293.00","262.00","7.90K","5.44%"
"2015년 1월","275.50","304.00","307.25","266.50","9.57K","-9.30%"
"2014년 12월","303.75","290.25","326.00","290.25","2.98K","3.14%"
"2014년 11월","294.50","335.25","348.50","289.00","10.61K","-12.42%"
"2014년 10월","336.25","334.00","372.50","331.00","11.40K","0.22%"
"2014년 9월","335.50","379.75","401.25","326.00","5.43K","-7.38%"
"2014년 8월","362.25","354.00","388.00","342.25","2.12K","2.19%"
"2014년 7월","354.50","340.00","398.75","328.00","2.06K","4.88%"
"2014년 6월","338.00","371.00","387.00","327.00","10.11K","-8.89%"
"2014년 5월","371.00","418.50","423.50","326.50","5.77K","-11.35%"
"2014년 4월","418.50","400.00","438.50","390.50","9.05K","4.89%"
